t,nu,I12
-0.03341,-906734038.867763,0.08139534883720931
-0.0334,-903099717.4468472,0.08139534883720931
-0.03339,-899464427.0855082,0.06976744186046518
-0.03338,-895828168.2239766,0.03448503674037775
-0.03337,-892190941.30249,0.022990024493585164
-0.03336,-888552746.7612871,0.0
-0.03335,-884913585.0405978,0.0
-0.03334,-881273456.5806632,0.011627906976744196
-0.03333,-877632361.8217137,-0.023255813953488393
-0.03332,-873990301.2039897,-0.03488372093023259
-0.03331,-870347275.1677221,-0.046511627906976785
-0.0333,-866703284.1531512,-0.06976744186046505
-0.03329,-863058328.6005075,-0.09196009797434053
-0.03328,-859412408.9500295,-0.10465116279069764
-0.03327,-855765525.6419548,-0.11627906976744183
-0.03326,-852117679.1165141,-0.13794014696151086
-0.03325,-848468869.8139483,-0.15116279069767444
-0.03324,-844819098.1744874,-0.18181818181818185
-0.03323,-841168364.6383724,-0.16279069767441862
-0.03322,-837516669.6458337,-0.1976744186046512
-0.03321,-833864013.6371119,-0.20691022044226634
-0.0332,-830210397.0524375,-0.24139525718264396
-0.03319,-826555820.3320485,-0.24418604651162787
-0.03318,-822900283.9161834,-0.25581395348837205
-0.03317,-819243788.2450722,-0.26744186046511625
-0.03316,-815586333.758956,-0.29069767441860467
-0.03315,-811927920.8980647,-0.3023255813953489
-0.03314,-808268550.1026397,-0.32558139534883723
-0.03313,-804608221.8129108,-0.32558139534883723
-0.03312,-800946936.4691166,-0.35634537965056967
-0.03311,-797284694.5114949,-0.3720930232558139
-0.0331,-793621496.3802762,-0.3908304163909474
-0.03309,-789957342.5157015,-0.40909090909090906
-0.03308,-786292233.3580008,-0.40909090909090906
-0.03307,-782626169.347415,-0.41860465116279066
-0.03306,-778959150.9241748,-0.43023255813953487
-0.03305,-775291178.5285203,-0.4418604651162791
-0.03304,-771622252.6006824,-0.4418604651162791
-0.03303,-767952373.5808992,-0.4534883720930233
-0.03302,-764281541.9094087,-0.48279051436528797
-0.03301,-760609758.0264413,-0.48279051436528797
-0.033,-756937022.372238,-0.4883720930232558
-0.03299,-753263335.3870287,-0.5057805388588732
-0.03298,-749588697.5110548,-0.5172755511056657
-0.03297,-745913109.184546,-0.5340909090909092
-0.03296,-742236570.8477434,-0.5402655755992508
-0.03295,-738559082.9408776,-0.5287705633524583
-0.03294,-734880645.9041862,-0.5287705633524583
-0.03293,-731201260.1779078,-0.5454545454545454
-0.03292,-727520926.2022728,-0.5348837209302325
-0.03291,-723839644.4175217,-0.5517605878460434
-0.0329,-720157415.2638851,-0.5465116279069767
-0.03289,-716474239.1816036,-0.563255600092836
-0.03288,-712790116.6109074,-0.5681818181818182
-0.03287,-709105047.9920378,-0.5581395348837209
-0.03286,-705419033.7652246,-0.563255600092836
-0.03285,-701732074.3707064,-0.5581395348837209
-0.03284,-698044170.2487211,-0.5465116279069767
-0.03283,-694355321.8394992,-0.5466594736091016
-0.03282,-690665529.5832814,-0.5454545454545454
-0.03281,-686974793.9202983,-0.5465116279069767
-0.0328,-683283115.2907903,-0.5294484060018881
-0.03279,-679590494.134988,-0.5287705633524583
-0.03278,-675896930.8931293,-0.5059173657351376
-0.03277,-672202426.0054526,-0.5232558139534884
-0.03276,-668506979.9121885,-0.511766315719159
-0.03275,-664810593.0535773,-0.5060480768510598
-0.03274,-661113265.8698498,-0.5057805388588732
-0.03273,-657414998.8012463,-0.4768731578292163
-0.03272,-653715792.2879974,-0.4767441860465116
-0.03271,-650015646.7703439,-0.4588552852016364
-0.0327,-646314562.6885163,-0.4607032393498821
-0.03269,-642612540.4827526,-0.4418604651162791
-0.03268,-638909580.5932908,-0.4235587248015106
-0.03267,-635205683.4603614,-0.407086842049331
-0.03266,-631500849.5242053,-0.41382044088453257
-0.03265,-627795079.2250528,-0.3837209302325581
-0.03264,-624088373.0031446,-0.3838247367893692
-0.03263,-620380731.2987114,-0.3489315788994265
-0.03262,-616672154.5519934,-0.3529656040012587
-0.03261,-612962643.2032212,-0.32558139534883723
-0.0326,-609252197.6926333,-0.3140384210094839
-0.03259,-605540818.4604673,-0.318264025086221
-0.03258,-601828505.946954,-0.27914526311954124
-0.03257,-598115260.592334,-0.24707592280088111
-0.03256,-594401082.8368376,-0.24418604651162787
-0.03255,-590685973.1207058,-0.23255813953488366
-0.03254,-586969931.8841687,-0.22990024493585137
-0.03253,-583252959.5674673,-0.1977278947096751
-0.03252,-579535056.6108319,-0.20691022044226634
-0.03251,-575816223.4545006,-0.1840174824912945
-0.0325,-572096460.5387113,-0.1725163898355886
-0.03249,-568375768.3036951,-0.15116279069767444
-0.03248,-564654147.1896921,-0.12794157892978975
-0.03247,-560931597.6369328,-0.10467947366982794
-0.03246,-557208120.0856583,-0.10345511022113311
-0.03245,-553483714.9760987,-0.09093257859606309
-0.03244,-549758382.7484921,-0.07956600627155519
-0.03243,-546032123.8430768,-0.03489315788994269
-0.03242,-542304938.7000833,-0.045466289298031606
-0.03241,-538576827.7597519,-0.011631052629980897
-0.0324,-534847791.46231335,0.0
-0.03239,-531117830.24800843,0.011495012246792582
-0.03238,-527386944.55706745,0.022990024493585164
-0.03237,-523655134.82973105,0.022733144649015803
-0.03236,-519922401.5062297,0.04598004898717033
-0.03235,-516188745.0268017,0.045466289298031606
-0.03234,-512454165.83168495,0.06900655593423542
-0.03233,-508718664.36111,0.0930484210398471
-0.03232,-504982241.05531746,0.10467947366982801
-0.03231,-501244896.3545379,0.11495012246792576
-0.0323,-497506630.699012,0.11495012246792576
-0.03229,-493767444.52897006,0.12644513471471833
-0.03228,-490027338.28465295,0.1379401469615109
-0.03227,-486286312.40629095,0.1494351592083035
-0.03226,-482544367.3341223,0.16283473681973248
-0.03225,-478801503.5083851,0.1744657894497134
-0.03224,-475057721.36930984,0.1744657894497134
-0.03223,-471313021.35713714,0.17251638983558865
-0.03222,-467567403.9120974,0.1860968420796943
-0.03221,-463820869.47443146,0.17251638983558865
-0.0322,-460073418.48436964,0.1860968420796943
-0.03219,-456325051.38215274,0.17049858486761846
-0.03218,-452575768.6080111,0.19772789470967517
-0.03217,-448825570.60218287,0.18392019594868125
-0.03216,-445074457.8049062,0.1860968420796943
-0.03215,-441322430.6564115,0.1860968420796943
-0.03214,-437569489.59693956,0.15913201254311055
-0.03213,-433815635.0667208,0.17251638983558865
-0.03212,-430060867.50599575,0.1860968420796943
-0.03211,-426305187.3549951,0.1744657894497134
-0.0321,-422548595.0539567,0.16283473681973248
-0.03209,-418791091.04311895,0.14951420452417682
-0.03208,-415032675.7627121,0.1379401469615109
-0.03207,-411273349.652977,0.15120368418975158
-0.03206,-407513113.1541439,0.10229915092057106
-0.03205,-403751966.70645374,0.11501092655705908
-0.03204,-399989910.75013673,0.09093257859606314
-0.03203,-396226945.7254337,0.10350983390135317
-0.03202,-392463072.0725751,0.08046508572754801
-0.03201,-388698290.2317989,0.06897007348075543
-0.032,-384932600.6433434,0.057505463278529505
-0.03199,-381166003.74743897,0.03450327796711774
-0.03198,-377398499.9843263,0.03448503674037775
-0.03197,-373630089.79423594,0.011495012246792582
-0.03196,-369860773.61740845,0.0
-0.03195,-366090551.89407426,-0.022990024493585164
-0.03194,-362319425.06447417,-0.03448503674037775
-0.03193,-358547393.56883854,-0.05750546327852957
-0.03192,-354774457.84740555,-0.08050764858994128
-0.03191,-351000618.3404133,-0.09196009797434053
-0.0319,-347225875.48809224,-0.11495012246792569
-0.03189,-343450229.7306831,-0.11631052629980884
-0.03188,-339673681.50841624,-0.14951420452417677
-0.03187,-335896231.2615324,-0.1725163898355886
-0.03186,-332117879.4302621,-0.1840174824912945
-0.03185,-328338626.4548459,-0.1977278947096751
-0.03184,-324558472.7755143,-0.23002185311411802
-0.03183,-320777418.8325054,-0.25302403842552984
-0.03182,-316995465.06605744,-0.25289026942943654
-0.03181,-313212611.9164008,-0.2955308804372052
-0.0318,-309428859.8237761,-0.2875273163926476
-0.03179,-305644209.22841376,-0.32186034291019205
-0.03178,-301858660.5705547,-0.3409971697352368
-0.03177,-298072214.29042906,-0.36373031438425246
-0.03176,-294284870.82827514,-0.36056263152940743
-0.03175,-290496630.62433124,-0.3838247367893692
-0.03174,-286707494.11882746,-0.3838247367893692
-0.03173,-282917461.75200474,-0.4253154531313251
-0.03172,-279126533.9640933,-0.4140393356054125
-0.03171,-275334711.1953341,-0.4546628929803157
-0.0317,-271541993.8859574,-0.4600437062282362
-0.03169,-267748382.47620398,-0.4712955021184954
-0.03168,-263953877.40630412,-0.48304589153964794
-0.03167,-260158479.11649612,-0.48850421045919723
-0.03166,-256362188.0470181,-0.5001352630891781
-0.03165,-252565004.63810045,-0.5172755511056657
-0.03164,-248766929.32998392,-0.5233973683491399
-0.03163,-244967962.56289887,-0.5175491695067657
-0.03162,-241168104.77708605,-0.511766315719159
-0.03161,-237367356.41277584,-0.5350284209791207
-0.0316,-233565717.9102091,-0.5455954715763788
-0.03159,-229763189.70961598,-0.5466594736091016
-0.03158,-225959772.25123486,-0.5466594736091016
-0.03157,-222155465.97530386,-0.5405513548181774
-0.03156,-218350271.32205322,-0.5517605878460434
-0.03155,-214544188.73172387,-0.5517605878460434
-0.03154,-210737218.64454612,-0.5402655755992508
-0.03153,-206929361.50076073,-0.5350284209791207
-0.03152,-203120617.74059808,-0.5233973683491399
-0.03151,-199310987.8042989,-0.5175491695067657
-0.0315,-195500472.13209355,-0.5172755511056657
-0.03149,-191689071.16422024,-0.511766315719159
-0.03148,-187876785.3409172,-0.5001352630891781
-0.03147,-184063615.10241467,-0.4942855266120806
-0.03146,-180249560.88895354,-0.48279051436528797
-0.03145,-176434623.140764,-0.48304589153964794
-0.03144,-172618802.298087,-0.4712955021184954
-0.03143,-168802098.80115283,-0.4600437062282362
-0.03142,-164984513.09019962,-0.41871789467931186
-0.03141,-161166045.60546565,-0.407086842049331
-0.0314,-157346696.78718114,-0.407086842049331
-0.03139,-153526467.07558703,-0.40919660368228405
-0.03138,-149705356.91091356,-0.37509688670876035
-0.03137,-145883366.73340154,-0.35634537965056967
-0.03136,-142060496.98328128,-0.3409971697352368
-0.03135,-138236748.1007937,-0.3140384210094839
-0.03134,-134412120.52616897,-0.31036533066339944
-0.03133,-130586614.69964537,-0.27914526311954124
-0.03132,-126760231.0614611,-0.26438528167622916
-0.03131,-122932970.05184643,-0.24139525718264396
-0.0313,-119104832.11104223,-0.22733144649015777
-0.03129,-115275817.67927875,-0.20701966780270634
-0.03128,-111445927.1967969,-0.1818651571921263
-0.03127,-107615161.1038269,-0.16093017145509603
-0.03126,-103783519.84060964,-0.12794157892978975
-0.03125,-99951003.84737538,-0.11631052629980884
-0.03124,-96117613.56436367,-0.10237854491849023
-0.03123,-92283349.43180874,-0.05815526314990435
-0.03122,-88448211.88994619,-0.04652421051992359
-0.03121,-84612201.37901157,-0.04598004898717033
-0.0312,-80775318.3392391,-0.023002185311411828
-0.03119,-76937563.21086702,-0.011366572324507902
-0.03118,-73098936.43412957,0.023262105259961793
-0.03117,-69259438.44926232,0.03489315788994269
-0.03116,-65419069.696500845,0.05820252464746484
-0.03115,-61577830.616080694,0.08240428163590197
-0.03114,-57735721.648237444,0.09312403943594377
-0.03113,-53892743.23320665,0.11772040233700283
-0.03112,-50048895.811222576,0.1163105262998089
-0.03111,-46204179.82252343,0.1280455542244227
-0.0311,-42358595.70734345,0.15120368418975158
-0.03109,-38512143.90591821,0.17658060350550428
-0.03108,-34664824.858483285,0.16296706901290164
-0.03107,-30816639.005274225,0.16101529717988272
-0.03106,-26967586.78652661,0.17251638983558865
-0.03105,-23117668.642476,0.18401748249129457
-0.03104,-19266885.013357967,0.18401748249129457
-0.03103,-15415236.339406747,0.19551857514700047
-0.03102,-11562723.060860574,0.19551857514700047
-0.03101,-7709345.617953679,0.18200630207731613
-0.031,-3855104.450921632,0.22098999996963697
-0.03099,0.0,0.22116959366036656
-0.03098,3855967.294575649,0.22116959366036656
-0.03097,7712796.992569746,0.22116959366036656
-0.03096,11570488.653746728,0.18200630207731613
-0.03095,15429041.837872364,0.19551857514700047
-0.03094,19288456.104708403,0.18200630207731613
-0.03093,23148731.01402062,0.1842125196234017
-0.03092,27009866.125573453,0.1978885838013806
-0.03091,30871860.999131333,0.1726992371469391
-0.0309,34734715.19445868,0.16101529717988272
-0.03089,38598428.27131994,0.14788012043781934
-0.03088,42462999.78947953,0.14967267219401387
-0.03087,46328429.30870192,0.15132656408340867
-0.03086,50194716.38875283,0.11375393879832256
-0.03085,54061860.58939404,0.11513282476462605
-0.03084,57929861.470391326,0.10361954228816343
-0.03083,61798718.59150911,0.0682523632789935
-0.03082,65668431.51251183,0.0814835345064508
-0.03081,69538999.79316393,0.057505463278529505
-0.0308,73410422.9932298,0.05820252464746484
-0.03079,77282700.67247391,0.023002185311411828
-0.03078,81155832.39066206,0.0
-0.03077,85029817.70755592,0.0
-0.03076,88904656.18292132,-0.034539847429387836
-0.03075,92780347.37652269,-0.06825236327899357
-0.03074,96656890.84812446,-0.06900655593423535
-0.03073,100534286.15749104,-0.08059297733523815
-0.03072,104412532.86438689,-0.1035098339013531
-0.03071,108291630.52857642,-0.1266461072410886
-0.0307,112171578.70982407,-0.14951420452417677
-0.03069,116052376.96789563,-0.1629670690129016
-0.03068,119934024.86255282,-0.1840174824912945
-0.03067,123816521.95356144,-0.2095290887308734
-0.03066,127699867.8006859,-0.23026564952925196
-0.03065,131584061.96369065,-0.26163405923614175
-0.03064,135469104.0023401,-0.26163405923614175
-0.03063,139354993.47639874,-0.287832061911565
-0.03062,143241729.94563094,-0.3026531281668172
-0.03061,147129312.9698025,-0.3142936330963102
-0.0306,151017742.10867515,-0.33757464295529616
-0.03059,154907016.92201465,-0.349215147884789
-0.03058,158797136.9695855,-0.372496157743775
-0.03057,162688101.8111521,-0.3981387857941288
-0.03056,166579911.00647888,-0.4074176725322539
-0.03055,170472564.11533022,-0.4259914516291162
-0.03054,174366060.69747066,-0.4306986823912399
-0.03053,178260400.3126645,-0.4306986823912399
-0.03052,182155582.52067766,-0.44233918732073285
-0.03051,186051606.88127175,-0.46562019717971875
-0.0305,189948472.95421264,-0.47726070210921173
-0.03049,193846180.29926473,-0.4950711464878918
-0.03048,197744728.47619247,-0.4889012070387047
-0.03047,201644117.04476026,-0.5121822168976907
